Project,File,Spotbug,PMD,Infer,Spotbug Mutated,PMD Mutated,Infer Mutated,Spotbug Killed,PMD Killed,Infer Killed,Spotbug % (Project),PMD % (Project),Infer % (Project)
hibernate-search-engine,Backend.java,0,1,0,0,0,0,False,False,False,8.59023207481815,11.188084516799446,0.0
hibernate-search-engine,Backend.java,0,1,0,0,1,0,False,False,False,,,
hibernate-search-engine,IndexFieldReference.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexFieldReference.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaFieldFinalStep.java,0,3,0,0,2,0,False,False,False,,,
hibernate-search-engine,IndexSchemaFieldFinalStep.java,0,3,0,0,2,0,False,False,False,,,
hibernate-search-engine,IndexSchemaFieldFinalStep.java,0,3,0,0,2,0,False,False,False,,,
hibernate-search-engine,ObjectFieldStorage.java,0,1,0,0,1,0,False,False,False,,,
hibernate-search-engine,ObjectFieldStorage.java,0,1,0,0,0,0,False,False,False,,,
hibernate-search-engine,ObjectFieldStorage.java,0,1,0,0,1,0,False,False,False,,,
hibernate-search-engine,ExcludeAllIndexSchemaNestingContext.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,ExcludeAllIndexSchemaNestingContext.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaElementImpl.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,IndexSchemaObjectFieldImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaObjectFieldImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaObjectFieldImpl.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexSchemaBuildContext.java,0,1,0,0,0,0,False,False,False,,,
hibernate-search-engine,NoOpDocumentElement.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,NoOpDocumentElement.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,NoOpDocumentElement.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,NoOpDocumentElement.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexManager.java,0,1,0,0,0,0,False,False,False,,,
hibernate-search-engine,IndexManager.java,0,1,0,0,1,0,False,False,False,,,
hibernate-search-engine,IndexManagerImplementor.java,0,1,0,0,1,0,False,False,False,,,
hibernate-search-engine,IndexManagerImplementor.java,0,1,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,0,0,False,False,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,AbstractWorkOrchestrator.java,0,0,0,0,1,0,False,True,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,0,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,3,1,1,True,True,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,0,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
hibernate-search-engine,BatchingExecutor.java,1,0,1,1,0,1,False,False,False,,,
